threshold	.epred	.lower	.upper	truth	good_interval
0.01	0.5681492365844765	0.5048950013818504	0.6275487996912803	0.6918779199511936	FALSE
0.05	0.33425136525005084	0.2836024558925738	0.3865410499347033	0.4114349042252139	FALSE
0.1	0.2581916256576211	0.21404963658308462	0.3054245087993444	0.2745401121106424	TRUE
0.2	0.14975266436759688	0.1159059027789264	0.18787335804681934	0.14152134992316331	TRUE
0.5	0.0304582782133957	0.018264540641902832	0.04856530593527646	0.014854097599835758	FALSE
0.8	0.009633055091805258	0.0038101578000999587	0.020601658595930064	1.345699971015693e-4	FALSE
0.9	0.00320982722557967	4.897727755236091e-4	0.01163776635691851	2.4566433162719453e-6	FALSE
0.95	0.0028716493953575262	4.6336870915021443e-4	0.01081595376898852	0	FALSE
0.99	0.0025139507076956578	2.2921372786080212e-4	0.010381391203852808	0	FALSE
