threshold	.epred	.lower	.upper	truth	good_interval
0.01	0.7295564656399021	0.6732985348999472	0.7814608616504188	0.6918779199511936	TRUE
0.05	0.4311008419939891	0.38097891401737655	0.48575196703475293	0.4114349042252139	TRUE
0.1	0.2815736223440266	0.2366516755353174	0.32985634130827995	0.2745401121106424	TRUE
0.2	0.14892927804369227	0.11588022945960572	0.18594785494639826	0.14152134992316331	TRUE
0.5	0.007417750310060331	0.00295762906651154	0.017499955105349598	0.014854097599835758	TRUE
0.8	0.0027931135056103312	3.376303490169014e-4	0.011875563650227593	1.345699971015693e-4	FALSE
0.9	0.002749934920615849	2.4161340540405658e-4	0.011046078106630938	2.4566433162719453e-6	FALSE
0.95	0.002782976127315036	2.6227255793515784e-4	0.010894628407580705	0	FALSE
0.99	0.002565261299263504	2.3396343160873165e-4	0.009681291347837307	0	FALSE
