threshold	.epred	.lower	.upper	truth	good_interval
0.01	0.6921840488425031	0.6375625501997255	0.7447645733057052	0.6918779199511936	TRUE
0.05	0.3923037550670797	0.3374522366536978	0.45077242330979156	0.4114349042252139	TRUE
0.1	0.2937805759327554	0.24618727781359706	0.3416925628156069	0.2745401121106424	TRUE
0.2	0.17433527246933128	0.13994479110901167	0.21338439375668647	0.14152134992316331	TRUE
0.5	0.0411509836488825	0.027185483736778423	0.059293380610835486	0.014854097599835758	FALSE
0.8	0.004181357326304664	0.0011896207481686153	0.01230810627073466	1.345699971015693e-4	FALSE
0.9	0.0028038839977419664	2.506848057578286e-4	0.011297659172157372	2.4566433162719453e-6	FALSE
0.95	0.0026704661076841297	2.453134281053299e-4	0.010492099399135429	0	FALSE
0.99	0.0026054476235175704	2.0939725065119164e-4	0.010242726232285658	0	FALSE
