threshold	.epred	.lower	.upper	truth	good_interval
0.01	0.48522953278338815	0.4223821674699798	0.5485578934290349	0.6918779199511936	FALSE
0.05	0.264133531155727	0.21815565074465654	0.31325013375146626	0.4114349042252139	FALSE
0.1	0.15592656211250916	0.12299955809364325	0.19351137719047573	0.2745401121106424	FALSE
0.2	0.06540488174852269	0.04600113148296787	0.08988832235624859	0.14152134992316331	FALSE
0.5	0.013453787046617028	0.006685108062782273	0.02477368301656754	0.014854097599835758	TRUE
0.8	0.0033015837929905104	6.07760671392622e-4	0.0116658772085508	1.345699971015693e-4	FALSE
0.9	0.002680323876380387	3.3910108499453443e-4	0.012191814303504968	2.4566433162719453e-6	FALSE
0.95	0.002765386066273182	2.5667135701035816e-4	0.010895482891299118	0	FALSE
0.99	0.0025313383896037505	2.1948666972563052e-4	0.010729078020310754	0	FALSE
