threshold	.epred	.lower	.upper	truth	good_interval
0.01	0.6038481099609386	0.5464281397028918	0.6591918018119157	0.6918779199511936	FALSE
0.05	0.35603593390624927	0.3037054079800259	0.40933817470692957	0.4114349042252139	FALSE
0.1	0.2603611630785564	0.2148951757054351	0.30758030713136564	0.2745401121106424	TRUE
0.2	0.14792846905540677	0.11591303697539719	0.18570629641014477	0.14152134992316331	TRUE
0.5	0.02727451516798499	0.015443688503971157	0.04522711775162299	0.014854097599835758	FALSE
0.8	0.006174440253389645	0.002250000992820049	0.01489698607608856	1.345699971015693e-4	FALSE
0.9	0.0032989407552891257	6.723124679550507e-4	0.010728773177847211	2.4566433162719453e-6	FALSE
0.95	0.0028088835625301864	2.7878268443519313e-4	0.010852229917928832	0	FALSE
0.99	0.0025839520270722074	2.4197886573984123e-4	0.009677295696641082	0	FALSE
