threshold	truth	avg_epred	coverage
0.01	0.6918779199511936	0.6520803515304652	0.48
0.05	0.4114349042252139	0.39278343384181413	0.57
0.1	0.2745401121106424	0.2653602159295419	0.71
0.2	0.14152134992316331	0.1454616687412098	0.72
0.5	0.014854097599835758	0.026574692639987376	0.46
0.8	1.345699971015693e-4	0.0049018920244784285	0
0.9	2.4566433162719453e-6	0.003295501640587229	0
0.95	0	0.0027944709031571947	0
0.99	0	0.0025999168519485988	0
