threshold	.epred	.lower	.upper	truth	good_interval
0.01	0.6451753744483477	0.583278416913858	0.7022944458999083	0.6918779199511936	TRUE
0.05	0.4557251128852434	0.40561720983036464	0.509687847548217	0.4114349042252139	TRUE
0.1	0.2836737618221523	0.23919733538830337	0.3309280533273879	0.2745401121106424	TRUE
0.2	0.12357051755154771	0.09447001922858458	0.1591193280478129	0.14152134992316331	TRUE
0.5	0.02262304790050846	0.01227804495544526	0.03880962718580577	0.014854097599835758	TRUE
0.8	0.005184479436132096	0.001566420132912721	0.013742409277595378	1.345699971015693e-4	FALSE
0.9	0.004824327232042284	0.0011428679862838943	0.014428612929068019	2.4566433162719453e-6	FALSE
0.95	0.003221055953761278	5.207319441768757e-4	0.010266457285727157	0	FALSE
0.99	0.002568158686710132	2.1561614984783593e-4	0.010219203980434953	0	FALSE
