threshold	.epred	.lower	.upper	truth	good_interval
0.01	0.6787572502242971	0.6233139338184249	0.7293142754750639	0.6918779199511936	TRUE
0.05	0.393074201852319	0.3433616183477731	0.44534556485145416	0.4114349042252139	TRUE
0.1	0.2616321574655891	0.21898997298711903	0.3082296103729806	0.2745401121106424	TRUE
0.2	0.13808568930448673	0.1082694676590149	0.17208114254071208	0.14152134992316331	TRUE
0.5	0.042367702620965564	0.02702731919936947	0.06321897103099658	0.014854097599835758	FALSE
0.8	0.007907042607304002	0.0035025649480096687	0.017427252298788495	1.345699971015693e-4	FALSE
0.9	0.0032641062919061357	5.442059137828518e-4	0.011496084552331866	2.4566433162719453e-6	FALSE
0.95	0.002724996768150299	2.4403165587134117e-4	0.011159599120560661	0	FALSE
0.99	0.002617752730583396	2.078693531039352e-4	0.010090988073122076	0	FALSE
