threshold	.epred	.lower	.upper	truth	good_interval
0.01	0.6374185637443912	0.5731159511199188	0.6963912365419777	0.6918779199511936	TRUE
0.05	0.4143756205987552	0.36261352945905756	0.4655547832538146	0.4114349042252139	TRUE
0.1	0.26971577728927143	0.226283417130819	0.31785567993545033	0.2745401121106424	TRUE
0.2	0.1997466679121982	0.16326176000776613	0.2383295450696615	0.14152134992316331	FALSE
0.5	0.038012634327628206	0.023997331804561626	0.05716712103267832	0.014854097599835758	FALSE
0.8	0.003961998731498089	8.624513339725195e-4	0.012352708802055435	1.345699971015693e-4	FALSE
0.9	0.0028998806441477634	2.5627224051106765e-4	0.0111980078858998	2.4566433162719453e-6	FALSE
0.95	0.002690155805337706	2.5292888600305806e-4	0.010873173881175924	0	FALSE
0.99	0.002553563644475436	2.1731929500220308e-4	0.010426161687284	0	FALSE
