threshold	.epred	.lower	.upper	truth	good_interval
0.01	0.6080585044570661	0.5465071046345985	0.6656184337485039	0.6918779199511936	FALSE
0.05	0.3483294255105542	0.29360741303170634	0.40306544027420604	0.4114349042252139	FALSE
0.1	0.27260702820653165	0.22605392682684325	0.3208833365299698	0.2745401121106424	TRUE
0.2	0.16386761560655078	0.12980388036318077	0.2032431586499246	0.14152134992316331	TRUE
0.5	0.01766877775239578	0.010251393900914167	0.029850061094007046	0.014854097599835758	TRUE
0.8	0.0031243406428313435	2.864218453297327e-4	0.012397993472770862	1.345699971015693e-4	FALSE
0.9	0.002895327711342794	2.4894300126818977e-4	0.011982229248032456	2.4566433162719453e-6	FALSE
0.95	0.002832670793922792	2.582952374507965e-4	0.01078675951390372	0	FALSE
0.99	0.0026183500579622567	2.2639326544181653e-4	0.010051409860490306	0	FALSE
